"device_id";"NumberOfRecords";"timestamp"
"11";"175";"2025-02-12 11:30:03.343"
"12";"372";"2025-02-12 11:30:03.343"
"13";"223";"2025-02-12 11:30:03.343"
"14";"1952";"2025-02-12 11:30:03.343"
"15";"196";"2025-02-12 11:30:03.343"
"16";"0";"2025-02-12 11:30:03.343"
"17";"0";"2025-02-12 11:30:03.343"
"18";"108";"2025-02-12 11:30:03.343"
"19";"159";"2025-02-12 11:30:03.343"
"20";"212";"2025-02-12 11:30:03.343"
"21";"0";"2025-02-12 11:30:03.343"
"22";"0";"2025-02-12 11:30:03.343"
"23";"260";"2025-02-12 11:30:03.343"
"24";"0";"2025-02-12 11:30:03.343"
"25";"0";"2025-02-12 11:30:03.343"
"26";"0";"2025-02-12 11:30:03.343"
"27";"0";"2025-02-12 11:30:03.343"
"28";"0";"2025-02-12 11:30:03.343"
"29";"0";"2025-02-12 11:30:03.343"
"30";"0";"2025-02-12 11:30:03.343"
"31";"0";"2025-02-12 11:30:03.343"
"32";"0";"2025-02-12 11:30:03.343"
"33";"172";"2025-02-12 11:30:03.343"
"34";"178";"2025-02-12 11:15:03.320"
"35";"0";"2025-02-12 11:15:03.320"
"36";"0";"2025-02-12 11:15:03.320"
"37";"194";"2025-02-12 11:15:03.320"
"38";"0";"2025-02-12 11:15:03.320"
"39";"0";"2025-02-12 11:15:03.320"
"40";"245";"2025-02-12 11:15:03.320"
"41";"0";"2025-02-12 11:15:03.320"
"42";"0";"2025-02-12 11:15:03.320"
"43";"0";"2025-02-12 11:15:03.320"
"44";"207";"2025-02-12 11:15:03.320"
"45";"203";"2025-02-12 11:15:03.320"
"46";"0";"2025-02-12 11:15:03.320"
"47";"260";"2025-02-12 11:15:03.320"
"48";"0";"2025-02-12 11:15:03.320"
"49";"0";"2025-02-12 11:15:03.320"
"50";"249";"2025-02-12 11:15:03.320"
"51";"202";"2025-02-12 11:15:03.320"
"52";"0";"2025-02-12 11:15:03.320"
"53";"0";"2025-02-12 11:15:03.320"
"54";"216";"2025-02-12 11:15:03.320"
"55";"40";"2025-02-12 11:15:03.320"
"56";"0";"2025-02-12 11:15:03.320"
"57";"0";"2025-02-12 11:15:03.320"
"58";"0";"2025-02-12 11:15:03.320"
"59";"0";"2025-02-12 11:15:03.320"
"60";"0";"2025-02-12 11:15:03.320"
"61";"0";"2025-02-12 11:15:03.320"
"62";"0";"2025-02-12 11:15:03.320"
"63";"0";"2025-02-12 11:15:03.320"
"64";"0";"2025-02-12 11:15:03.320"
"65";"0";"2025-02-12 11:15:03.320"
"66";"0";"2025-02-12 11:15:03.320"
"67";"0";"2025-02-12 11:15:03.320"
"68";"0";"2025-02-12 11:15:03.320"
"69";"0";"2025-02-12 11:15:03.320"
"70";"0";"2025-02-12 11:15:03.320"
"71";"0";"2025-02-12 11:15:03.320"
"72";"252";"2025-02-12 11:15:03.320"
"73";"0";"2025-02-12 11:15:03.320"
"74";"289";"2025-02-12 11:15:03.320"
"75";"0";"2025-02-12 11:15:03.320"
"76";"0";"2025-02-12 11:15:03.320"
"77";"0";"2025-02-12 11:15:03.320"
"78";"0";"2025-02-12 11:15:03.320"
"79";"0";"2025-02-12 11:15:03.320"
"80";"0";"2025-02-12 11:15:03.320"
"93";"0";"2025-02-12 11:15:03.320"
