"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"4688533";"1";"2025-02-09 18:45:00.000";"18";"1"
"4688538";"2";"2025-02-10 08:45:00.000";"41";"1"
"4688541";"2";"2025-02-10 11:45:00.000";"24";"1"
"4688542";"1";"2025-02-09 14:30:00.000";"33";"1"
"4688542";"2";"2025-02-10 11:45:00.000";"33";"1"
"4688547";"2";"2025-02-10 11:00:00.000";"25";"1"
"4688548";"1";"2025-02-10 12:30:00.000";"13";"3"
"4688549";"1";"2025-02-10 12:30:00.000";"23";"12"
"4688550";"1";"2025-02-10 12:30:00.000";"18";"5"
"4825719";"1";"2025-02-10 12:30:00.000";"31";"5"
"4825719";"2";"2025-02-10 12:30:00.000";"35";"2"
"4959032";"1";"2025-02-10 12:15:00.000";"36";"1"
"4959083";"1";"2025-02-10 12:30:00.000";"28";"1"
"4959083";"2";"2025-02-10 12:30:00.000";"25";"1"
"7853485";"2";"2025-02-10 10:30:00.000";"17";"1"
"7853493";"1";"2025-02-10 12:30:00.000";"22";"2"
"9774971";"1";"2025-02-10 11:45:00.000";"94";"1"
"13769164";"1";"2025-02-10 12:30:00.000";"26";"5"
"13769290";"1";"2025-02-10 12:00:00.000";"28";"1"
"13769313";"1";"2025-02-10 11:15:00.000";"28";"1"
"13769313";"2";"2025-02-10 10:00:00.000";"27";"1"
"13866832";"1";"2025-02-10 12:30:00.000";"30";"1"
"13866835";"1";"2025-02-10 12:00:00.000";"30";"1"
"13866973";"1";"2025-02-10 08:00:00.000";"77";"1"
"13868791";"1";"2025-02-10 12:30:00.000";"26";"15"
"13868862";"2";"2025-02-09 22:45:00.000";"3";"1"
"13873378";"1";"2025-02-10 03:00:00.000";"102";"1"
"13987098";"1";"2025-02-10 12:30:00.000";"77";"4"
"14087678";"1";"2025-02-10 12:00:00.000";"24";"1"
"14088029";"1";"2025-02-10 11:30:00.000";"26";"1"
"14088029";"2";"2025-02-10 11:00:00.000";"31";"1"
"14088080";"1";"2025-02-10 12:30:00.000";"23";"2"
"14088246";"1";"2025-02-10 12:30:00.000";"22";"5"
"14088380";"1";"2025-02-10 12:30:00.000";"19";"3"
"14088780";"1";"2025-02-10 12:30:00.000";"33";"5"
"14089056";"1";"2025-02-10 12:30:00.000";"25";"1"
"14089056";"2";"2025-02-10 12:30:00.000";"23";"1"
"14121198";"2";"2025-02-10 11:45:00.000";"64";"1"
"14123851";"1";"2025-02-10 00:45:00.000";"84";"1"
"14123888";"1";"2025-02-10 11:45:00.000";"89";"1"
"14124057";"1";"2025-02-10 11:45:00.000";"65";"1"
"14124723";"1";"2025-02-10 05:45:00.000";"33";"1"
"14125050";"1";"2025-02-10 10:30:00.000";"91";"1"
"14125325";"1";"2025-02-10 12:30:00.000";"11";"1"
"14125455";"1";"2025-02-10 05:15:00.000";"37";"1"
"14125455";"2";"2025-02-10 05:15:00.000";"34";"1"
"14125517";"1";"2025-02-10 12:30:00.000";"21";"1"
"14125517";"2";"2025-02-10 12:30:00.000";"29";"5"
"14125757";"1";"2025-02-10 11:30:00.000";"18";"1"
"14126204";"1";"2025-02-10 12:15:00.000";"25";"1"
"14126204";"2";"2025-02-10 10:30:00.000";"25";"1"
"14126223";"1";"2025-02-10 07:00:00.000";"17";"1"
"14126239";"1";"2025-02-10 12:30:00.000";"19";"3"
"14126392";"1";"2025-02-10 12:30:00.000";"27";"3"
"14126665";"1";"2025-02-10 12:30:00.000";"26";"4"
"14128773";"1";"2025-02-10 07:45:00.000";"73";"1"
"14129474";"1";"2025-02-10 10:30:00.000";"99";"1"
"14133333";"1";"2025-02-10 11:45:00.000";"100";"1"
"14136382";"2";"2025-02-10 08:45:00.000";"63";"1"
"14146512";"1";"2025-02-09 20:45:00.000";"46";"1"
"14148260";"1";"2025-02-09 15:45:00.000";"74";"1"
"14149656";"1";"2025-02-10 10:45:00.000";"65";"1"
"14149892";"1";"2025-02-09 20:45:00.000";"50";"1"
"14156116";"1";"2025-02-10 11:45:00.000";"18";"1"
